from	to	interaction_count	edge_betweenness
2843	8480	1.01	2.5952380952381
2843	9052	0.56	120.548285268407
2843	10425	0.69	14.1482475857476
2843	9286	0.57	11.2874755775496
2843	9517	0.5	69.5447570437226
2843	9991	0.63	10.1327268329646
2893	3198	0.54	5.65139202584855
2893	3974	0.71	30.2767586932514
2893	3990	0.52	12.5682188310126
2893	5585	0.54	10.6640311476591
2893	7847	0.64	8.66560304608006
2893	8480	0.52	9.03516716046094
2893	9052	0.61	32.6539682539682
2893	9991	0.66	2.24036954087346
3066	10088	0.5	67
3198	5208	0.72	25.3031942412608
3198	7847	0.83	2.89971977716451
3198	9052	0.57	35.0851966873706
3198	9991	0.72	3.61970672132072
3262	3606	0.59	50.6474302899611
3262	7674	0.5	65.31607284098
3262	10088	0.51	56.4849233716475
3333	3990	0.55	21.7867523211292
3333	8480	0.55	20.7185987355843
3333	9286	0.6	2.54672501411632
3333	10344	0.71	22.5890009247404
3335	3424	0.51	195
3335	6086	0.52	40.9595071595071
3335	7892	0.56	40.9595071595071
3424	5088	0.76	132
3581	3606	0.54	33.2858721348546
3581	5208	0.61	58.5858721348546
3606	6931	0.52	49.2108955293924
3606	7212	0.59	24.4613316371724
3606	9664	0.53	49.2108955293924
3889	7949	0.87	70.6087301587302
3889	7977	0.7	1
3889	8153	0.53	247.042857142857
3974	6931	0.6	12.3500894998922
3974	9664	0.65	12.3500894998922
3990	5585	0.67	15.9406216632829
3990	5942	0.5	37.4664682539683
3990	7674	0.51	65.4313358179666
3990	8480	1.01	1.95535714285714
3990	9052	0.57	140.657671715293
3990	10425	0.69	15.0190809190809
3990	9286	0.56	13.41598595606
3990	9517	0.52	78.6783429023084
3990	9991	0.64	12.2154055530873
3990	9437	0.5	49.6464150644035
4786	8153	0.73	293.514285714286
5088	11011	0.57	67
5208	7847	0.61	26.8926609456493
5208	11390	0.69	67
5585	8480	0.69	12.5146371907662
5585	10425	0.52	2.75050661703888
5585	9286	0.61	6.21516529129323
5743	5819	0.81	25.4563492063492
5743	6399	0.66	7.77777777777778
5819	6399	1	20.1666666666667
5819	10923	0.92	22.1666666666667
5942	8480	0.5	28.1793650793651
6086	7892	1	1
6086	10088	0.67	25.0900863312932
6086	9517	0.66	84.8619788636435
6086	10344	0.79	11.7368875373453
6399	10923	0.95	2.77777777777778
6931	7212	0.57	45.7392857142857
6931	7674	0.5	46.4140445681314
6931	9437	0.62	7.91667337146151
6931	9664	0.98	1
7212	8777	0.51	132
7212	9437	0.51	84.532760208601
7212	9664	0.7	45.7392857142857
7674	8480	0.53	72.1434695176003
7674	11964	0.73	67
7674	9664	0.51	46.4140445681314
7674	10344	0.54	36.1417911509461
7847	9052	0.7	41.0654704608692
7847	10999	0.57	19.3114718614719
7847	9991	0.77	4.62242758257118
7892	10088	0.69	25.0900863312932
