from	to	interaction_count	edge_betweenness
1967	3333	0.51	47.2995643245643
1967	8513	0.94	18.8233877233877
1970	2002	0.54	43.9282828282828
1970	5585	0.68	18.0156565656566
1970	5819	0.58	13.932523032523
1970	7067	0.64	101.776312576313
2002	2893	1	6.73838383838384
2170	12223	1	50
2170	11276	1	133.831146631147
2170	8513	0.6	46.2136770092652
2170	9587	0.91	57.2841362885481
2300	2843	0.53	19.1714989259107
2300	2921	0.81	19.6274374318492
2300	3198	0.53	7.61299158357982
2300	3826	0.98	9.65
2300	4646	0.97	16.7607707651825
2300	7977	0.95	16.0317664361782
2300	9286	0.98	16.4274374318492
2300	9455	0.51	18.9326100370218
2439	2559	1	1
2439	2765	1	1
2439	2843	0.96	1.60688657747481
2439	2921	1	4.03078947196594
2439	3418	1.01	7.07352451470098
2439	3606	1	1
2439	4459	1	1
2439	4646	0.93	4.82815223991694
2439	4770	1	1
2439	4822	1	1
2439	5088	1	1
2439	7500	1	1.04347826086957
2439	7674	1	1
2439	7977	0.67	4.87163050078651
2439	8494	1	3.42390289449113
2439	9286	0.8	5.82815223991694
2439	9455	1	1.77355324414148
2439	9664	1	1
2439	10425	1	1
2450	3424	1.01	3.5171568627451
2450	11011	0.62	32.4229819200407
2450	9587	0.75	15.5704481792717
2450	12727	0.8	21.3388782785842
2559	2765	1.01	1
2559	2843	0.96	1.60688657747481
2559	2921	1	4.03078947196594
2559	3418	1	7.07352451470098
2559	3606	1	1
2559	4459	1.01	1
2559	4646	0.96	4.82815223991694
2559	4770	1.01	1
2559	4822	1	1
2559	5088	1	1
2559	7500	1.01	1.04347826086957
2559	7674	1	1
2559	7977	0.74	4.87163050078651
2559	8494	1.01	3.42390289449113
2559	9286	0.86	5.82815223991694
2559	9455	1.01	1.77355324414148
2559	9664	1	1
2559	10425	1	1
2765	2843	0.98	1.60688657747481
2765	2921	0.98	4.03078947196594
2765	3418	0.99	7.07352451470098
2765	3606	1	1
2765	4459	1.01	1
2765	4646	0.93	4.82815223991694
2765	4770	1.01	1
2765	4822	1	1
2765	5088	1	1
2765	7500	0.95	1.04347826086957
2765	7674	1	1
2765	7977	0.57	4.87163050078651
2765	8494	1.01	3.42390289449113
2765	9286	0.72	5.82815223991694
2765	9455	1.01	1.77355324414148
2765	9664	1	1
2765	10425	1	1
2843	2921	0.94	3.22063492063492
2843	3418	1	5.86507936507936
2843	3606	0.97	1.60688657747481
2843	4459	0.97	1.60688657747481
2843	4646	0.79	3.47063492063492
2843	4770	0.97	1.60688657747481
2843	4822	1	1.60688657747481
2843	5088	0.97	1.60688657747481
2843	7500	0.99	1.77248258987389
2843	7674	0.97	1.60688657747481
2843	7977	0.67	3.51411318150449
2843	8494	0.95	3.63522768081592
2843	9286	0.56	3.97063492063492
2843	9455	1	1.14285714285714
2843	9664	0.96	1.60688657747481
2843	10425	0.96	1.60688657747481
