name	asv_id	betweenness	color	taxon	ASV_color	genus_name	genus_color	family_name	family_color	order_name	order_color	class_name	class_color	phylum_name	phylum_color
2002	2892f46388f6758c561d38afb6f769b7	0.0306369360332263	#8AE68A	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Tissierellales; f__Peptoniphilaceae; g__Anaerococcus; s__Anaerococcus nagyae	#F98A16	Anaerococcus	#9E0056	Peptoniphilaceae	#512A53	Tissierellales	#6A00A5	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
2067	29f43893cd9d09212893f97e6bb415c3	0.00157262731074913	#8A8AE6	d__Bacteria; p__Desulfobacterota_G_459543; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio_446353; s__Desulfovibrio sp900243745	#CCDCD7	Desulfovibrio_446353	#357F4B	Desulfovibrionaceae	#62703D	Desulfovibrionales	#4F163B	Desulfovibrionia	#AD8694	Desulfobacterota_G_459543	#CD7562
2170	2c2018d4ecccfa3cb27b99a04c9222b1	0.00242858026613929	#8A8AE6	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides_H_857956	#F37966	Bacteroides_H_857956	#970086	Bacteroidaceae	#A48D5F	Bacteroidales	#F05C00	Bacteroidia	#FF00E9	Bacteroidota	#2E1682
2217	2cedfeac0edf24cce6d2d9377284151e	0	#E68A8A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_D; f__Amphibacillaceae	#B9AADC	Unknown	#555555	Amphibacillaceae	#FF3B73	Bacillales_D	#FB4070	Bacilli_A	#BB8722	Bacillota_I	#B6860D
2450	313aec37577cdcd2b0ffd21d43eb69ac	0.00482997924085169	#8A8AE6	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Actinomycetaceae; g__Scrofimicrobium	#972222	Scrofimicrobium	#A38B7F	Actinomycetaceae	#6E5563	Actinomycetales	#0DA200	Actinomycetes	#1C4549	Actinomycetota	#0D650D
2559	338542bf1812ae7f592833126884367a	0.0737693460582134	#8A8AE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Paenibacillales; f__Paenibacillaceae_367444; g__Paenibacillus_T_364413; s__Paenibacillus_T_364413 montaniterrae	#4226FB	Paenibacillus_T_364413	#EA636D	Paenibacillaceae_367444	#496288	Paenibacillales	#6271C2	Bacilli_A	#BB8722	Bacillota_I	#B6860D
2735	37066499498c7448546760f781ebcbae	0.0037982203811718	#8AE68A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_D; f__Amphibacillaceae; g__Virgibacillus_B_287557; s__Virgibacillus_B_287557 alimentarius	#C08216	Virgibacillus_B_287557	#C22275	Amphibacillaceae	#FF3B73	Bacillales_D	#FB4070	Bacilli_A	#BB8722	Bacillota_I	#B6860D
2843	392aa3c45e128c7432f91b3de84541f6	0.00942833979175372	#8A8AE6	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Enterocloster	#A33D86	Enterocloster	#A184BD	Lachnospiraceae	#9F81CB	Lachnospirales	#907CAF	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
2893	3a6b6eaabaee9f111ba41af0866179ef	0.0784606208307846	#8A8AE6	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Actinomycetaceae; g__Scrofimicrobium; s__Scrofimicrobium canadense	#3D3D8C	Scrofimicrobium	#A38B7F	Actinomycetaceae	#6E5563	Actinomycetales	#0DA200	Actinomycetes	#1C4549	Actinomycetota	#0D650D
2921	3b332fab259d8f243b936a938c0b5884	0.0517698590250283	#8AE68A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Lactobacillaceae; g__Secundilactobacillus	#E12AA6	Secundilactobacillus	#4D684F	Lactobacillaceae	#FF00F0	Lactobacillales	#B7850D	Bacilli_A	#BB8722	Bacillota_I	#B6860D
3046	3d5e805f6f02e7f0ef4491898c72176b	0.0180833358019532	#8A8AE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Carnobacteriaceae; g__Atopostipes; s__Atopostipes suicloacalis	#954555	Atopostipes	#268058	Carnobacteriaceae	#4900D3	Lactobacillales	#B7850D	Bacilli_A	#BB8722	Bacillota_I	#B6860D
3228	417ce45f57337958a86a300b0524eed9	0.00709926195085898	#8A8AE6	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__RF32; f__CAG-239; g__CAJLXD01; s__	#7CB238	CAJLXD01	#D75DBB	CAG-239	#0D7EC3	RF32	#808AD1	Alphaproteobacteria	#980DFE	Pseudomonadota	#A916FF
3332	43cd8b48d40b39441be11d2ce9cc4299	0.00989496595975332	#8AE68A	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae	#A81CFE	Unknown	#555555	Lachnospiraceae	#9F81CB	Lachnospirales	#907CAF	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
3453	464a52deb6e8c4e2b57d980a8d18f04c	0	#E68A8A	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Peptostreptococcales; f__Peptostreptococcaceae_256921; g__Romboutsia_B; s__Romboutsia_B ilealis	#55848B	Romboutsia_B	#BA6588	Peptostreptococcaceae_256921	#7F88E6	Peptostreptococcales	#EF605D	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
3581	4968fb5752ff6417e1b47209b05db027	0.0238082441117111	#8A8AE6	d__Bacteria; p__Myxococcota_A_473307; c__Polyangia_463783; o__Polyangiales; f__SG8-38; g__; s__	#1675C4	Unknown	#555555	SG8-38	#B31C73	Polyangiales	#0DA266	Polyangia_463783	#B00071	Myxococcota_A_473307	#9589B1
3606	49fc1baff761bf9d357844d43cd138ed	0.0044706408037532	#8A8AE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus_A	#A700AF	Enterococcus_A	#662A77	Enterococcaceae	#1C5316	Lactobacillales	#B7850D	Bacilli_A	#BB8722	Bacillota_I	#B6860D
3627	4a476e35606f9e5812e6d82e10535938	0.0289752966083862	#E68A8A	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales	#A0F69A	Unknown	#555555	Unknown	#555555	Bacteroidales	#F05C00	Bacteroidia	#FF00E9	Bacteroidota	#2E1682
3826	4e445178e20e89871b6459c52dcde954	0	#E68A8A	d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales; f__Mycobacteriaceae; g__Corynebacterium; s__Corynebacterium amycolatum_A	#1CF3FD	Corynebacterium	#264B49	Mycobacteriaceae	#324747	Mycobacteriales	#455C5C	Actinomycetes	#1C4549	Actinomycetota	#0D650D
3888	4fc1bbccb64ed14c4cc29ae5c718eaad	0.0765245117901327	#8AE68A	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Oscillospirales; f__Acutalibacteraceae; g__Scatolibacter; s__Scatolibacter rhodanostii	#C4EE58	Scatolibacter	#C85FF5	Acutalibacteraceae	#990DB6	Oscillospirales	#B673E4	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
3971	5172b3bed3cdf723c920699cf32f3356	0.00322081962829506	#8A8AE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_D; f__Amphibacillaceae; g__Oceanobacillus_287537; s__Oceanobacillus indicireducens	#E745FF	Oceanobacillus_287537	#00699A	Amphibacillaceae	#FF3B73	Bacillales_D	#FB4070	Bacilli_A	#BB8722	Bacillota_I	#B6860D
3990	51e441cbdcc80da0656e82293ae160b5	0.0206795479114214	#8AE68A	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides_H_857956	#F37966	Bacteroides_H_857956	#970086	Bacteroidaceae	#A48D5F	Bacteroidales	#F05C00	Bacteroidia	#FF00E9	Bacteroidota	#2E1682
