name	asv_id	betweenness	color	asv_name	ASV_color	genus_name	genus_color	family_name	family_color	order_name	order_color	class_name	class_color	phylum_name	phylum_color
9286	bb21cf70594b50fff63669b576ca18c1	0.010774818401937	#8AE6E6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Staphylococcales; f__Staphylococcaceae; g__Staphylococcus	#840098	Unknown	#555555	Enterococcaceae	#1C5316	Lactobacillales	#B7850D	Bacilli_A	#BB8722	Bacillota_I	#B6860D
9437	bdfdc0ace831e736f6084d490c965fdd	0.229811383754801	#8AE68A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Aerococcaceae; g__Globicatella	#FCDFA1	Lacrimispora	#AA71C2	Lachnospiraceae	#9F81CB	Lachnospirales	#907CAF	Clostridia_258483	#A42A2A	Bacillota_A_368345	#980D16
9517	bfe54af4c9180d37a0d76f6dafe79a5a	0	#8AE68A	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Enterocloster	#9B227D	Unknown	#555555	Enterobacteriaceae_A_725029	#628B91	Enterobacterales_737866	#C000EA	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
9664	c2cf94c70e49c65b29f5eacf29029831	0.00218729503259721	#E68A8A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus_C; s__Enterococcus_C diestrammenae	#CD0D38	Unknown	#555555	Rhizobiaceae	#869816	Rhizobiales_505101	#8E885A	Alphaproteobacteria	#980DFE	Pseudomonadota	#A916FF
9703	c3b153bdcbcbc594c78f50e103ff2b2d	0.175035484678968	#8AE6E6	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales_A_650611; f__Pseudomonadaceae; g__Halopseudomonas_650606; s__Halopseudomonas formosensis	#FF669D	Schleiferilactobacillus	#E16379	Lactobacillaceae	#FF00F0	Lactobacillales	#B7850D	Bacilli_A	#BB8722	Bacillota_I	#B6860D
10425	d23fbef2f31d48eda40876cdbc49933a	0	#8AE68A	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales_505101; f__Rhizobiaceae	#9FF600	Staphylococcus	#B6778E	Staphylococcaceae	#9D3B91	Staphylococcales	#1C90F6	Bacilli_A	#BB8722	Bacillota_I	#B6860D
10795	d9bca85ad6690f7a943e50deb03b3da1	0.0264043119683096	#8AE6E6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Enterococcaceae; g__Enterococcus_A	#C7A3DE	Unknown	#555555	Burkholderiaceae_A_595373	#53002A	Burkholderiales	#1C9ABE	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
11011	ddc522730e2b25acd5021eaa7f43a389	0.0383206701733878	#8AE6E6	d__Bacteria; p__Bacillota_A_368345; c__Clostridia_258483; o__Lachnospirales; f__Lachnospiraceae; g__Lacrimispora	#C7F16D	Dysgonomonas	#80957D	Dysgonomonadaceae	#226EAF	Bacteroidales	#F05C00	Bacteroidia	#FF00E9	Bacteroidota	#2E1682
11276	e2c82b8f287cf06e42982508eb460933	0.000584453535943892	#8A8AE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Lactobacillales; f__Lactobacillaceae; g__Lactiplantibacillus	#00B294	Companilactobacillus	#CA16BE	Lactobacillaceae	#FF00F0	Lactobacillales	#B7850D	Bacilli_A	#BB8722	Bacillota_I	#B6860D
11390	e5413f67faa6b8c0c3e63e48836c0b42	0	#E6E68A	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales_737866; f__Enterobacteriaceae_A_729055	#9AEEE6	Phascolarctobacterium_A_40086	#8E1C8D	Acidaminococcaceae	#B670EF	Acidaminococcales	#802240	Negativicutes	#9D4F1C	Bacillota_C	#4900CE
11964	efb8602f3d0765aaf09b975799823da9	0	#E6E68A	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__MOL361; f__Turicibacteraceae; g__Turicibacter	#FD9DE0	Unknown	#555555	Enterobacteriaceae_A_729055	#1C69DC	Enterobacterales_737866	#C000EA	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
12223	f4cbea5b7ea9a9cb9e6b0c09f005aa46	0	#E6E68A	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium	#65BA72	Enterococcus_C	#267C26	Enterococcaceae	#1C5316	Lactobacillales	#B7850D	Bacilli_A	#BB8722	Bacillota_I	#B6860D
12727	fda0746dace4494eb6cfd64b8b7d6036	0	#E68AE6	d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Bacillales_A; f__Planococcaceae; g__Savagea; s__Savagea sp009740415	#E389FF	Unknown	#555555	Enterobacteriaceae_A_732334	#0068FE	Enterobacterales_737866	#C000EA	Gammaproteobacteria	#CB72AF	Pseudomonadota	#A916FF
