from	to	interaction_count	edge_betweenness
3976	7847	0.94	5.96025789942045
3976	7949	1	4.30417985828434
3976	7977	1.01	7.80648215184401
3976	11011	0.94	5.02664192843027
3976	11797	0.82	22.3465296269158
4533	5585	1.01	6.59002230284282
4533	5942	0.88	4.96794900107105
4533	6353	1.01	3.18611694087321
4533	7847	0.76	5.07471869491691
4533	7907	1.01	3.77769194662315
4533	7977	0.96	9.28979801145599
4533	8513	1.01	5.4078996003996
4533	11011	0.98	2.56455475470821
4770	7632	0.98	21.2545164617565
4770	8494	1	3.88342435963705
4770	9455	1.01	2.52614548594026
4770	10425	1	2.27897536918058
4770	11394	1.01	1.79755788691728
5088	5819	0.95	8.58054418001226
5088	6822	1.01	2.51082251082251
5088	7132	1.01	1.83571428571429
5088	9286	0.51	21.8810608247631
5088	12727	0.79	11.864275220542
5088	11276	0.75	5.60137732040958
5111	5819	1.01	1.81252587991718
5111	6822	0.89	6.60251916790522
5111	6931	0.57	17.9334761640415
5111	7067	1.01	1.36014492753623
5111	7132	1	3.4065603168228
5111	8014	1.01	2.50898033126294
5111	10999	1.01	3.07062900235929
5111	11276	1	1.14285714285714
5585	6353	1.01	1.84907907707977
5585	7632	0.76	14.918096931782
5585	7907	1.01	1.95059422859492
5585	8513	1.01	5.79742759729888
5585	11011	0.68	10.564464766322
5585	9286	0.92	8.24942058247846
5585	12727	0.7	22.2919843674365
5819	6931	0.56	12.7831980799178
5819	7067	1.01	1.45238095238095
5819	7132	1.01	4.41856973105813
5819	7977	0.51	20.348116557028
5819	8014	1.01	1.64285714285714
5819	10999	1.01	2.23783914728682
5819	11276	1	1.66966873706004
5942	6931	1	11.3167295850283
5942	7847	0.91	5.37411630953641
5942	7949	1.01	6.07091026702429
5942	7977	1.01	7.02808318048002
5942	8513	0.98	8.46663316395479
5942	11011	0.99	3.55551843646657
5942	11797	0.9	26.0018246231066
6353	7632	0.79	19.3344412582406
6353	7847	0.69	8.02254296364491
6353	7907	1.01	1.2
6353	7977	0.8	9.94897089456264
6353	8513	1.01	4.20349904238062
6353	11011	0.93	5.07477109017536
6353	9286	0.83	13.2244644174859
6822	7067	0.96	11.5685997228092
6822	7132	1.01	2.80010822510822
6822	12727	0.78	23.3072824049285
6822	11276	0.85	6.41750214684586
6931	7067	0.78	14.3636597319312
6931	7847	1.01	7.03030390993188
6931	7949	0.71	16.2372468286498
6931	7977	1.01	6.27277960306291
6931	8014	0.97	9.57829148703167
6931	11011	0.85	11.8415546807117
6931	10999	1	10.1285941823669
6931	11276	0.68	19.3930366193936
7067	7132	0.99	4.26856973105813
7067	7977	0.52	26.8091287524221
7067	8014	1.01	1.90535714285714
