from	to	interaction_count	edge_betweenness
4007	11276	1	1.07142857142857
4007	11390	1	1.08961038961039
4007	12131	1	2.64272615566359
4007	12537	0.84	4.76738272317667
4040	6353	0.82	47.0979677597356
4040	9917	0.52	41.749401424298
4581	6353	0.81	42.7518486969078
4581	12785	0.76	58.0358115324892
5208	5528	0.89	9.55422715780002
5208	6246	0.71	10.0207033715593
5208	6909	0.74	6.89373758866518
5208	7977	1	1.39015280135823
5208	9437	0.93	25.1429253590087
5208	9455	0.83	5.27433622487091
5208	10425	0.83	8.67561071219894
5208	11276	0.74	5.22325017641644
5208	11390	0.77	5.61284643838113
5208	12131	0.74	10.0207033715593
5208	12537	1	1.39015280135823
5233	5819	0.97	1
5233	5942	1	1
5233	6086	1	1
5233	6096	1	1
5233	6993	0.99	3.79166666666667
5233	7232	1	1
5233	8153	1	6.83066378066378
5233	9052	0.99	3.79166666666667
5233	10088	1	7.94007936507936
5233	12727	1	1
5492	5555	0.58	16.3461847048987
5492	6894	1	16.8975219946179
5492	7103	1	8.59096609276815
5492	7132	0.94	11.7241843741282
5492	8203	0.66	36.0935644919839
5492	8370	0.81	7.86210320247819
5492	10176	0.52	18.0038986851624
5492	10207	0.99	5.10993749844156
5492	12239	0.99	9.44602943500713
5528	5555	0.59	4.61889612993104
5528	6246	1	1.125
5528	6909	1	2.03202769452769
5528	7977	0.76	8.08395156263774
5528	9455	1	2.49986901280645
5528	10014	0.56	9.19248987082752
5528	10176	1	3.8985830791856
5528	10207	0.59	13.0802261939689
5528	10664	0.97	7.89027177091899
5528	11220	1	3.24767384043871
5528	11276	1	2.41336828606798
5528	11390	1	2.68881734547687
5528	12131	1	1.125
5528	12537	0.79	8.08395156263774
5555	6246	0.59	4.70296206399698
5555	7132	1	3.35089455323379
5555	10176	0.59	3.08221093624017
5555	11220	0.62	4.95017478411801
5555	12131	0.58	4.70296206399698
5819	5942	1	1
5819	6086	0.99	1
5819	6096	0.99	1
5819	6993	0.99	3.79166666666667
5819	7232	0.98	1
5819	8153	0.99	6.83066378066378
5819	9052	0.99	3.79166666666667
5819	10088	0.97	7.94007936507936
5819	12727	0.99	1
5942	6086	1	1
5942	6096	1	1
5942	6993	0.99	3.79166666666667
5942	7232	1	1
5942	8153	1	6.83066378066378
5942	9052	0.99	3.79166666666667
5942	10088	1	7.94007936507936
5942	12727	1	1
6007	8203	0.98	16.7245174964544
6007	9917	1	6.58217880527145
6007	12746	0.96	5.11626971436236
6007	12785	0.76	20.8830507938478
6086	6096	1	1
6086	6993	0.99	3.79166666666667
6086	7232	1	1
6086	8153	1	6.83066378066378
6086	9052	0.99	3.79166666666667
6086	10088	1	7.94007936507936
6086	12727	1	1
6096	6993	0.99	3.79166666666667
6096	7232	1	1
6096	8153	1	6.83066378066378
6096	9052	0.99	3.79166666666667
6096	10088	1	7.94007936507936
6096	12727	1	1
6246	6909	1	1.90702769452769
6246	7977	0.86	8.48302106382594
6246	9455	1	2.64272615566359
6246	10014	0.5	9.44014221847987
6246	10176	1	3.55890053950306
6246	10207	0.83	12.4346217983645
6246	10664	1	8.44418480596167
6246	11220	1	3.08347970124457
6246	11276	1	2.55622542892513
6246	11390	1	2.83167448833401
6246	12131	1	1
6246	12537	0.86	8.48302106382595
6353	10664	0.61	161.28600912085
6353	12785	0.61	18.8074999905365
6894	7103	1	10.1401913174006
6894	7132	0.64	29.6693608278181
6894	9286	0.71	45.4582372850845
6894	10207	0.66	36.6439231180249
6894	12239	0.81	8.37988665909065
6909	7977	0.84	6.18204440395759
6909	9455	1	1.54285125149388
6909	10176	1	3.73721348472777
6909	10207	0.58	16.6501448376159
6909	10664	0.88	9.49811764228913
6909	11220	1	4.57458997985485
6909	11276	1	1.46539671261613
6909	11390	1	1.50324285328878
6909	12131	1	1.90702769452769
6909	12537	0.84	6.18204440395759
6993	7232	1	3.79166666666667
6993	8153	1	11.3532966923211
6993	9052	0.99	1
6993	10088	0.99	8.77385242385242
6993	12727	0.99	3.79166666666667
7103	8370	0.78	22.591156299969
7103	9286	0.79	130.689455781735
7103	10176	0.7	24.7570723987859
7103	10207	1	11.5571325692825
7103	12239	1	1.43059299191375
7132	11220	0.66	11.2421727787259
7232	8153	1	6.83066378066378
7232	9052	0.99	3.79166666666667
7232	10088	1	7.94007936507936
7232	12727	1	1
7977	9437	0.95	29.1879483584798
7977	9455	0.84	4.76738272317667
7977	10425	0.92	12.123372014113
7977	10664	0.57	16.8351101713564
7977	11276	0.8	4.70394489606607
7977	11390	0.87	5.11341446920841
7977	12131	0.88	8.48302106382595
7977	12537	1	1
8153	9052	0.99	11.3532966923211
8153	9286	0.71	111.215758697029
8153	10088	1	8.63285440613027
8153	12727	1	6.83066378066378
8203	8370	0.55	35.49703510484
8203	9917	1	9.46220249227817
8203	11011	0.98	7.18429601186329
8203	12746	0.96	6.16190339511235
8203	12785	0.67	16.4300451548486
8223	9286	1	84
8370	10207	0.52	16.304522992675
8370	12239	0.92	22.3733248314465
8370	12785	0.72	76.3804166247171
9052	10088	0.99	8.77385242385242
9052	12727	0.99	3.79166666666667
9286	12239	0.63	103.821581855487
9437	10014	0.81	25.7905271261902
9437	10425	1	21.84096361773
9437	12279	0.84	32.4201478047758
9437	12537	0.95	29.1879483584798
9455	10176	1	6.22622152070028
9455	10664	0.97	8.6951347774866
9455	11220	0.99	6.1414422318211
9455	11276	1	1.07142857142857
9455	11390	1	1.08961038961039
9455	12131	1	2.64272615566359
9455	12537	0.84	4.76738272317667
9917	11011	0.56	14.3264196493577
9917	12746	1	2
10014	10176	0.51	10.1432720158964
10014	12279	1	2.65757575757576
10014	12131	0.51	9.44014221847987
10088	12727	1	7.94007936507937
10176	10207	0.93	7.02660564255025
10176	10664	0.69	15.1387059995938
10176	11220	0.99	3.95363365994171
10176	11276	1	5.50835025082289
10176	11390	1	6.4936862122372
10176	12131	1	3.55890053950306
10207	12239	1	13.9935535857559
10207	11220	0.86	7.81664051159852
10207	12131	0.73	12.4346217983645
10425	12537	0.92	12.123372014113
10664	11220	1	11.0012112681095
10664	11276	0.9	8.99754179726458
10664	11390	0.97	8.39124686217096
10664	12131	0.98	8.44418480596168
10664	12537	0.55	16.8351101713564
11011	12746	0.55	10.3406611555967
11011	12785	0.71	11.3161482598308
11220	11276	0.94	5.90221053711393
11220	11390	1	6.22229511083688
11220	12131	1	3.08347970124457
11276	11390	1	1.16653346653347
11276	12131	1	2.55622542892513
11276	12537	0.86	4.70394489606607
11390	12131	1	2.83167448833401
11390	12537	0.83	5.11341446920841
12131	12537	0.87	8.48302106382594
