from	to	interaction_count	edge_betweenness
5942	8839	0.84	7.51352407183609
5942	9437	0.81	13.5043246040688
5942	9664	1	1
6353	11011	0.78	113.233333333333
6353	9052	0.77	5.19444444444444
6353	9286	0.56	5.89444444444444
6353	9703	0.62	70.9861111111111
7067	9437	0.73	139.776984126984
7132	9052	0.58	27.3134920634921
7132	10795	0.82	9.16031746031746
7949	8153	0.97	1.25874125874126
7949	9437	0.79	13.8102564102564
7949	9664	0.95	1.25874125874126
7977	8839	0.63	142.425777334345
8153	8839	0.85	7.51352407183609
8153	9437	0.82	13.5043246040688
8153	9664	1	1
8513	12727	0.6	1
8839	9664	0.82	7.51352407183609
9052	9286	0.68	1.83333333333333
9052	9703	0.64	34.125
9286	9703	0.86	26
9437	9664	0.81	13.5043246040688
